지점,지점명,일시,기온(°C)
108,서울,2018-08-01 00:01,30.5
108,서울,2018-08-01 00:02,30.5
108,서울,2018-08-01 00:03,30.5
108,서울,2018-08-01 00:04,30.5
108,서울,2018-08-01 00:05,30.5
108,서울,2018-08-01 00:06,30.5
108,서울,2018-08-01 00:07,30.5
108,서울,2018-08-01 00:08,30.5
108,서울,2018-08-01 00:09,30.4
108,서울,2018-08-01 00:10,30.4
108,서울,2018-08-01 00:11,30.4
108,서울,2018-08-01 00:12,30.4
108,서울,2018-08-01 00:13,30.4
108,서울,2018-08-01 00:14,30.4
108,서울,2018-08-01 00:15,30.4
108,서울,2018-08-01 00:16,30.4
108,서울,2018-08-01 00:17,30.4
108,서울,2018-08-01 00:18,30.4
108,서울,2018-08-01 00:19,30.3
108,서울,2018-08-01 00:20,30.3
108,서울,2018-08-01 00:21,30.3
108,서울,2018-08-01 00:22,30.3
108,서울,2018-08-01 00:23,30.3
108,서울,2018-08-01 00:24,30.2
108,서울,2018-08-01 00:25,30.2
108,서울,2018-08-01 00:26,30.2
108,서울,2018-08-01 00:27,30.2
108,서울,2018-08-01 00:28,30.2
108,서울,2018-08-01 00:29,30.2
108,서울,2018-08-01 00:30,30.2
108,서울,2018-08-01 00:31,30.2
108,서울,2018-08-01 00:32,30.2
108,서울,2018-08-01 00:33,30.2
108,서울,2018-08-01 00:34,30.2
108,서울,2018-08-01 00:35,30.2
108,서울,2018-08-01 00:36,30.2
108,서울,2018-08-01 00:37,30.2
108,서울,2018-08-01 00:38,30.1
108,서울,2018-08-01 00:39,30.1
108,서울,2018-08-01 00:40,30.1
108,서울,2018-08-01 00:41,30.1
108,서울,2018-08-01 00:42,30.1
108,서울,2018-08-01 00:43,30.1
108,서울,2018-08-01 00:44,30.1
108,서울,2018-08-01 00:45,30.1
108,서울,2018-08-01 00:46,30.1
108,서울,2018-08-01 00:47,30
108,서울,2018-08-01 00:48,30
108,서울,2018-08-01 00:49,30.1
108,서울,2018-08-01 00:50,30
108,서울,2018-08-01 00:51,30
108,서울,2018-08-01 00:52,30
108,서울,2018-08-01 00:53,30
108,서울,2018-08-01 00:54,30
108,서울,2018-08-01 00:55,30
108,서울,2018-08-01 00:56,30
108,서울,2018-08-01 00:57,30
108,서울,2018-08-01 00:58,30
108,서울,2018-08-01 00:59,29.9
108,서울,2018-08-01 01:00,29.9
108,서울,2018-08-01 01:01,29.9
108,서울,2018-08-01 01:02,29.9
108,서울,2018-08-01 01:03,29.9
108,서울,2018-08-01 01:04,29.9
108,서울,2018-08-01 01:05,29.9
108,서울,2018-08-01 01:06,29.8
108,서울,2018-08-01 01:07,29.8
108,서울,2018-08-01 01:08,29.8
108,서울,2018-08-01 01:09,29.8
108,서울,2018-08-01 01:10,29.8
108,서울,2018-08-01 01:11,29.9
108,서울,2018-08-01 01:12,29.9
108,서울,2018-08-01 01:13,29.8
108,서울,2018-08-01 01:14,29.8
108,서울,2018-08-01 01:15,29.8
108,서울,2018-08-01 01:16,29.8
108,서울,2018-08-01 01:17,29.8
108,서울,2018-08-01 01:18,29.8
108,서울,2018-08-01 01:19,29.8
108,서울,2018-08-01 01:20,29.8
108,서울,2018-08-01 01:21,29.8
108,서울,2018-08-01 01:22,29.8
108,서울,2018-08-01 01:23,29.8
108,서울,2018-08-01 01:24,29.8
108,서울,2018-08-01 01:25,29.8
108,서울,2018-08-01 01:26,29.8
108,서울,2018-08-01 01:27,29.8
108,서울,2018-08-01 01:28,29.8
108,서울,2018-08-01 01:29,29.8
108,서울,2018-08-01 01:30,29.8
108,서울,2018-08-01 01:31,29.8
108,서울,2018-08-01 01:32,29.8
108,서울,2018-08-01 01:33,29.8
108,서울,2018-08-01 01:34,29.8
108,서울,2018-08-01 01:35,29.8
108,서울,2018-08-01 01:36,29.8
108,서울,2018-08-01 01:37,29.8
108,서울,2018-08-01 01:38,29.8
108,서울,2018-08-01 01:39,29.8
108,서울,2018-08-01 01:40,29.7
108,서울,2018-08-01 01:41,29.7
108,서울,2018-08-01 01:42,29.7
108,서울,2018-08-01 01:43,29.7
108,서울,2018-08-01 01:44,29.7
108,서울,2018-08-01 01:45,29.7
108,서울,2018-08-01 01:46,29.7
108,서울,2018-08-01 01:47,29.7
108,서울,2018-08-01 01:48,29.7
108,서울,2018-08-01 01:49,29.6
108,서울,2018-08-01 01:50,29.6
108,서울,2018-08-01 01:51,29.6
108,서울,2018-08-01 01:52,29.6
108,서울,2018-08-01 01:53,29.6
108,서울,2018-08-01 01:54,29.6
108,서울,2018-08-01 01:55,29.5
108,서울,2018-08-01 01:56,29.5
108,서울,2018-08-01 01:57,29.5
108,서울,2018-08-01 01:58,29.5
108,서울,2018-08-01 01:59,29.5
108,서울,2018-08-01 02:00,29.5
108,서울,2018-08-01 02:01,29.5
108,서울,2018-08-01 02:02,29.5
108,서울,2018-08-01 02:03,29.5
108,서울,2018-08-01 02:04,29.4
108,서울,2018-08-01 02:05,29.4
108,서울,2018-08-01 02:06,29.4
108,서울,2018-08-01 02:07,29.4
108,서울,2018-08-01 02:08,29.4
108,서울,2018-08-01 02:09,29.4
108,서울,2018-08-01 02:10,29.4
108,서울,2018-08-01 02:11,29.4
108,서울,2018-08-01 02:12,29.4
108,서울,2018-08-01 02:13,29.4
108,서울,2018-08-01 02:14,29.4
108,서울,2018-08-01 02:15,29.3
108,서울,2018-08-01 02:16,29.3
108,서울,2018-08-01 02:17,29.3
108,서울,2018-08-01 02:18,29.3
108,서울,2018-08-01 02:19,29.3
108,서울,2018-08-01 02:20,29.3
108,서울,2018-08-01 02:21,29.3
108,서울,2018-08-01 02:22,29.3
108,서울,2018-08-01 02:23,29.3
108,서울,2018-08-01 02:24,29.3
108,서울,2018-08-01 02:25,29.3
108,서울,2018-08-01 02:26,29.3
108,서울,2018-08-01 02:27,29.2
108,서울,2018-08-01 02:28,29.2
108,서울,2018-08-01 02:29,29.2
108,서울,2018-08-01 02:30,29.2
108,서울,2018-08-01 02:31,29.2
108,서울,2018-08-01 02:32,29.2
108,서울,2018-08-01 02:33,29.2
108,서울,2018-08-01 02:34,29.2
108,서울,2018-08-01 02:35,29.2
108,서울,2018-08-01 02:36,29.2
108,서울,2018-08-01 02:37,29.2
108,서울,2018-08-01 02:38,29.2
108,서울,2018-08-01 02:39,29.2
108,서울,2018-08-01 02:40,29.1
108,서울,2018-08-01 02:41,29.1
108,서울,2018-08-01 02:42,29.2
108,서울,2018-08-01 02:43,29.2
108,서울,2018-08-01 02:44,29.1
108,서울,2018-08-01 02:45,29.1
108,서울,2018-08-01 02:46,29.1
108,서울,2018-08-01 02:47,29.1
108,서울,2018-08-01 02:48,29.1
108,서울,2018-08-01 02:49,29.1
108,서울,2018-08-01 02:50,29.1
108,서울,2018-08-01 02:51,29.1
108,서울,2018-08-01 02:52,29.1
108,서울,2018-08-01 02:53,29.1
108,서울,2018-08-01 02:54,29.1
108,서울,2018-08-01 02:55,29.1
108,서울,2018-08-01 02:56,29.1
108,서울,2018-08-01 02:57,29.1
108,서울,2018-08-01 02:58,29.1
108,서울,2018-08-01 02:59,29.1
108,서울,2018-08-01 03:00,29.1
108,서울,2018-08-01 03:01,29.1
108,서울,2018-08-01 03:02,29.1
108,서울,2018-08-01 03:03,29.1
108,서울,2018-08-01 03:04,29.1
108,서울,2018-08-01 03:05,29.1
108,서울,2018-08-01 03:06,29.1
108,서울,2018-08-01 03:07,29.1
108,서울,2018-08-01 03:08,29
108,서울,2018-08-01 03:09,29
108,서울,2018-08-01 03:10,29
108,서울,2018-08-01 03:11,29
108,서울,2018-08-01 03:12,29
108,서울,2018-08-01 03:13,29
108,서울,2018-08-01 03:14,29
108,서울,2018-08-01 03:15,29
108,서울,2018-08-01 03:16,29
108,서울,2018-08-01 03:17,29
108,서울,2018-08-01 03:18,29
108,서울,2018-08-01 03:19,29
108,서울,2018-08-01 03:20,29
108,서울,2018-08-01 03:21,28.9
108,서울,2018-08-01 03:22,28.9
108,서울,2018-08-01 03:23,28.9
108,서울,2018-08-01 03:24,28.9
108,서울,2018-08-01 03:25,28.9
108,서울,2018-08-01 03:26,28.9
108,서울,2018-08-01 03:27,28.9
