지점,지점명,일시,기온(°C)
108,서울,2018-08-10 00:01,27.1
108,서울,2018-08-10 00:02,27.1
108,서울,2018-08-10 00:03,27.1
108,서울,2018-08-10 00:04,27.1
108,서울,2018-08-10 00:05,27.1
108,서울,2018-08-10 00:06,27.1
108,서울,2018-08-10 00:07,27.1
108,서울,2018-08-10 00:08,27.1
108,서울,2018-08-10 00:09,27.1
108,서울,2018-08-10 00:10,27.1
108,서울,2018-08-10 00:11,27.1
108,서울,2018-08-10 00:12,27.1
108,서울,2018-08-10 00:13,27.1
108,서울,2018-08-10 00:14,27.1
108,서울,2018-08-10 00:15,27.1
108,서울,2018-08-10 00:16,27.1
108,서울,2018-08-10 00:17,27.1
108,서울,2018-08-10 00:18,27.1
108,서울,2018-08-10 00:19,27.1
108,서울,2018-08-10 00:20,27.1
108,서울,2018-08-10 00:21,27.1
108,서울,2018-08-10 00:22,27
108,서울,2018-08-10 00:23,27
108,서울,2018-08-10 00:24,27
108,서울,2018-08-10 00:25,27
108,서울,2018-08-10 00:26,27
108,서울,2018-08-10 00:27,27
108,서울,2018-08-10 00:28,27
108,서울,2018-08-10 00:29,27
108,서울,2018-08-10 00:30,27
108,서울,2018-08-10 00:31,27
108,서울,2018-08-10 00:32,27
108,서울,2018-08-10 00:33,27
108,서울,2018-08-10 00:34,27
108,서울,2018-08-10 00:35,27
108,서울,2018-08-10 00:36,27
108,서울,2018-08-10 00:37,27
108,서울,2018-08-10 00:38,27
108,서울,2018-08-10 00:39,27
108,서울,2018-08-10 00:40,27
108,서울,2018-08-10 00:41,27
108,서울,2018-08-10 00:42,27
108,서울,2018-08-10 00:43,27
108,서울,2018-08-10 00:44,27
108,서울,2018-08-10 00:45,27
108,서울,2018-08-10 00:46,27
108,서울,2018-08-10 00:47,27
108,서울,2018-08-10 00:48,26.9
108,서울,2018-08-10 00:49,26.9
108,서울,2018-08-10 00:50,26.9
108,서울,2018-08-10 00:51,26.9
108,서울,2018-08-10 00:52,26.9
108,서울,2018-08-10 00:53,26.9
108,서울,2018-08-10 00:54,26.9
108,서울,2018-08-10 00:55,26.9
108,서울,2018-08-10 00:56,26.9
108,서울,2018-08-10 00:57,26.9
108,서울,2018-08-10 00:58,26.9
108,서울,2018-08-10 00:59,26.9
108,서울,2018-08-10 01:00,26.9
108,서울,2018-08-10 01:01,26.9
