지점,지점명,일시,기온(°C)
108,서울,2018-08-16 00:01,28.4
108,서울,2018-08-16 00:02,28.4
108,서울,2018-08-16 00:03,28.4
108,서울,2018-08-16 00:04,28.4
108,서울,2018-08-16 00:05,28.4
108,서울,2018-08-16 00:06,28.4
108,서울,2018-08-16 00:07,28.4
108,서울,2018-08-16 00:08,28.4
108,서울,2018-08-16 00:09,28.4
108,서울,2018-08-16 00:10,28.4
108,서울,2018-08-16 00:11,28.4
108,서울,2018-08-16 00:12,28.4
108,서울,2018-08-16 00:13,28.4
108,서울,2018-08-16 00:14,28.4
108,서울,2018-08-16 00:15,28.4
108,서울,2018-08-16 00:16,28.4
108,서울,2018-08-16 00:17,28.4
108,서울,2018-08-16 00:18,28.4
108,서울,2018-08-16 00:19,28.4
108,서울,2018-08-16 00:20,28.4
108,서울,2018-08-16 00:21,28.4
108,서울,2018-08-16 00:22,28.4
108,서울,2018-08-16 00:23,28.4
108,서울,2018-08-16 00:24,28.4
108,서울,2018-08-16 00:25,28.4
108,서울,2018-08-16 00:26,28.4
108,서울,2018-08-16 00:27,28.4
108,서울,2018-08-16 00:28,28.4
108,서울,2018-08-16 00:29,28.4
108,서울,2018-08-16 00:30,28.4
108,서울,2018-08-16 00:31,28.4
108,서울,2018-08-16 00:32,28.4
108,서울,2018-08-16 00:33,28.4
108,서울,2018-08-16 00:34,28.4
108,서울,2018-08-16 00:35,28.4
108,서울,2018-08-16 00:36,28.4
108,서울,2018-08-16 00:37,28.3
108,서울,2018-08-16 00:38,28.4
108,서울,2018-08-16 00:39,28.3
108,서울,2018-08-16 00:40,28.3
108,서울,2018-08-16 00:41,28.3
108,서울,2018-08-16 00:42,28.3
108,서울,2018-08-16 00:43,28.3
108,서울,2018-08-16 00:44,28.3
108,서울,2018-08-16 00:45,28.3
108,서울,2018-08-16 00:46,28.3
108,서울,2018-08-16 00:47,28.3
108,서울,2018-08-16 00:48,28.3
108,서울,2018-08-16 00:49,28.3
108,서울,2018-08-16 00:50,28.3
108,서울,2018-08-16 00:51,28.3
108,서울,2018-08-16 00:52,28.3
108,서울,2018-08-16 00:53,28.2
108,서울,2018-08-16 00:54,28.2
108,서울,2018-08-16 00:55,28.2
108,서울,2018-08-16 00:56,28.2
108,서울,2018-08-16 00:57,28.2
108,서울,2018-08-16 00:58,28.2
108,서울,2018-08-16 00:59,28.2
108,서울,2018-08-16 01:00,28.2
108,서울,2018-08-16 01:01,28.2
108,서울,2018-08-16 01:02,28.2
108,서울,2018-08-16 01:03,28.2
108,서울,2018-08-16 01:04,28.2
108,서울,2018-08-16 01:05,28.2
108,서울,2018-08-16 01:06,28.2
108,서울,2018-08-16 01:07,28.2
108,서울,2018-08-16 01:08,28.2
108,서울,2018-08-16 01:09,28.2
108,서울,2018-08-16 01:10,28.2
108,서울,2018-08-16 01:11,28.2
108,서울,2018-08-16 01:12,28.2
108,서울,2018-08-16 01:13,28.2
108,서울,2018-08-16 01:14,28.2
108,서울,2018-08-16 01:15,28.2
108,서울,2018-08-16 01:16,28.2
108,서울,2018-08-16 01:17,28.2
108,서울,2018-08-16 01:18,28.1
108,서울,2018-08-16 01:19,28.1
108,서울,2018-08-16 01:20,28.1
108,서울,2018-08-16 01:21,28.1
108,서울,2018-08-16 01:22,28.1
108,서울,2018-08-16 01:23,28.1
108,서울,2018-08-16 01:24,28.1
108,서울,2018-08-16 01:25,28.1
108,서울,2018-08-16 01:26,28.1
108,서울,2018-08-16 01:27,28.1
108,서울,2018-08-16 01:28,28.1
108,서울,2018-08-16 01:29,28.1
108,서울,2018-08-16 01:30,28.1
108,서울,2018-08-16 01:31,28.1
108,서울,2018-08-16 01:32,28.1
108,서울,2018-08-16 01:33,28.1
108,서울,2018-08-16 01:34,28.1
108,서울,2018-08-16 01:35,28.1
108,서울,2018-08-16 01:36,28.1
108,서울,2018-08-16 01:37,28.1
108,서울,2018-08-16 01:38,28.1
108,서울,2018-08-16 01:39,28.1
108,서울,2018-08-16 01:40,28.1
108,서울,2018-08-16 01:41,28.1
108,서울,2018-08-16 01:42,28.1
108,서울,2018-08-16 01:43,28.1
108,서울,2018-08-16 01:44,28.1
108,서울,2018-08-16 01:45,28.1
108,서울,2018-08-16 01:46,28.1
108,서울,2018-08-16 01:47,28.1
108,서울,2018-08-16 01:48,28.1
108,서울,2018-08-16 01:49,28.1
108,서울,2018-08-16 01:50,28.1
108,서울,2018-08-16 01:51,28.1
108,서울,2018-08-16 01:52,28.1
108,서울,2018-08-16 01:53,28.1
108,서울,2018-08-16 01:54,28.1
108,서울,2018-08-16 01:55,28.1
108,서울,2018-08-16 01:56,28.1
108,서울,2018-08-16 01:57,28
108,서울,2018-08-16 01:58,28.1
108,서울,2018-08-16 01:59,28.1
108,서울,2018-08-16 02:00,28.1
108,서울,2018-08-16 02:01,28.1
108,서울,2018-08-16 02:02,28.1
108,서울,2018-08-16 02:03,28.1
108,서울,2018-08-16 02:04,28.1
108,서울,2018-08-16 02:05,28
108,서울,2018-08-16 02:06,28
108,서울,2018-08-16 02:07,28
108,서울,2018-08-16 02:08,28
108,서울,2018-08-16 02:09,28
108,서울,2018-08-16 02:10,28
108,서울,2018-08-16 02:11,28
108,서울,2018-08-16 02:12,28
108,서울,2018-08-16 02:13,28
108,서울,2018-08-16 02:14,28
108,서울,2018-08-16 02:15,28
108,서울,2018-08-16 02:16,28
108,서울,2018-08-16 02:17,28
108,서울,2018-08-16 02:18,28
108,서울,2018-08-16 02:19,28
108,서울,2018-08-16 02:20,28
108,서울,2018-08-16 02:21,28
108,서울,2018-08-16 02:22,28
108,서울,2018-08-16 02:23,28
108,서울,2018-08-16 02:24,28
108,서울,2018-08-16 02:25,28
108,서울,2018-08-16 02:26,28
108,서울,2018-08-16 02:27,27.9
108,서울,2018-08-16 02:28,27.9
108,서울,2018-08-16 02:29,28
108,서울,2018-08-16 02:30,28
108,서울,2018-08-16 02:31,28
108,서울,2018-08-16 02:32,27.9
108,서울,2018-08-16 02:33,28
108,서울,2018-08-16 02:34,27.9
108,서울,2018-08-16 02:35,27.9
108,서울,2018-08-16 02:36,27.9
108,서울,2018-08-16 02:37,27.9
