지점,지점명,일시,기온(°C)
108,서울,2018-08-12 00:01,29.9
108,서울,2018-08-12 00:02,29.9
108,서울,2018-08-12 00:03,29.9
108,서울,2018-08-12 00:04,29.9
108,서울,2018-08-12 00:05,29.9
108,서울,2018-08-12 00:06,29.9
108,서울,2018-08-12 00:07,29.9
108,서울,2018-08-12 00:08,29.8
108,서울,2018-08-12 00:09,29.8
108,서울,2018-08-12 00:10,29.8
108,서울,2018-08-12 00:11,29.8
108,서울,2018-08-12 00:12,29.8
108,서울,2018-08-12 00:13,29.8
108,서울,2018-08-12 00:14,29.8
108,서울,2018-08-12 00:15,29.8
108,서울,2018-08-12 00:16,29.8
108,서울,2018-08-12 00:17,29.8
108,서울,2018-08-12 00:18,29.7
108,서울,2018-08-12 00:19,29.7
108,서울,2018-08-12 00:20,29.7
108,서울,2018-08-12 00:21,29.7
108,서울,2018-08-12 00:22,29.7
108,서울,2018-08-12 00:23,29.7
108,서울,2018-08-12 00:24,29.7
108,서울,2018-08-12 00:25,29.7
108,서울,2018-08-12 00:26,29.7
108,서울,2018-08-12 00:27,29.7
108,서울,2018-08-12 00:28,29.6
108,서울,2018-08-12 00:29,29.6
108,서울,2018-08-12 00:30,29.6
108,서울,2018-08-12 00:31,29.6
108,서울,2018-08-12 00:32,29.6
108,서울,2018-08-12 00:33,29.6
108,서울,2018-08-12 00:34,29.6
108,서울,2018-08-12 00:35,29.6
108,서울,2018-08-12 00:36,29.6
108,서울,2018-08-12 00:37,29.6
108,서울,2018-08-12 00:38,29.6
108,서울,2018-08-12 00:39,29.6
108,서울,2018-08-12 00:40,29.6
108,서울,2018-08-12 00:41,29.5
108,서울,2018-08-12 00:42,29.5
108,서울,2018-08-12 00:43,29.5
108,서울,2018-08-12 00:44,29.5
108,서울,2018-08-12 00:45,29.5
108,서울,2018-08-12 00:46,29.5
108,서울,2018-08-12 00:47,29.4
108,서울,2018-08-12 00:48,29.4
108,서울,2018-08-12 00:49,29.4
108,서울,2018-08-12 00:50,29.4
108,서울,2018-08-12 00:51,29.4
108,서울,2018-08-12 00:52,29.4
108,서울,2018-08-12 00:53,29.4
108,서울,2018-08-12 00:54,29.4
108,서울,2018-08-12 00:55,29.4
108,서울,2018-08-12 00:56,29.4
108,서울,2018-08-12 00:57,29.4
108,서울,2018-08-12 00:58,29.4
108,서울,2018-08-12 00:59,29.4
108,서울,2018-08-12 01:00,29.4
108,서울,2018-08-12 01:01,29.4
108,서울,2018-08-12 01:02,29.3
108,서울,2018-08-12 01:03,29.3
108,서울,2018-08-12 01:04,29.3
108,서울,2018-08-12 01:05,29.3
108,서울,2018-08-12 01:06,29.3
108,서울,2018-08-12 01:07,29.3
108,서울,2018-08-12 01:08,29.3
108,서울,2018-08-12 01:09,29.3
108,서울,2018-08-12 01:10,29.3
108,서울,2018-08-12 01:11,29.2
108,서울,2018-08-12 01:12,29.2
108,서울,2018-08-12 01:13,29.2
108,서울,2018-08-12 01:14,29.2
108,서울,2018-08-12 01:15,29.2
108,서울,2018-08-12 01:16,29.2
108,서울,2018-08-12 01:17,29.2
108,서울,2018-08-12 01:18,29.2
108,서울,2018-08-12 01:19,29.2
108,서울,2018-08-12 01:20,29.2
108,서울,2018-08-12 01:21,29.2
108,서울,2018-08-12 01:22,29.2
108,서울,2018-08-12 01:23,29.2
108,서울,2018-08-12 01:24,29.2
108,서울,2018-08-12 01:25,29.2
108,서울,2018-08-12 01:26,29.2
108,서울,2018-08-12 01:27,29.1
108,서울,2018-08-12 01:28,29.1
108,서울,2018-08-12 01:29,29.1
108,서울,2018-08-12 01:30,29.1
108,서울,2018-08-12 01:31,29.1
108,서울,2018-08-12 01:32,29.1
108,서울,2018-08-12 01:33,29.1
108,서울,2018-08-12 01:34,29.1
108,서울,2018-08-12 01:35,29.1
108,서울,2018-08-12 01:36,29
108,서울,2018-08-12 01:37,29
108,서울,2018-08-12 01:38,29
108,서울,2018-08-12 01:39,29
108,서울,2018-08-12 01:40,29
108,서울,2018-08-12 01:41,29
108,서울,2018-08-12 01:42,29
108,서울,2018-08-12 01:43,29
108,서울,2018-08-12 01:44,29
108,서울,2018-08-12 01:45,29
108,서울,2018-08-12 01:46,29
108,서울,2018-08-12 01:47,29
108,서울,2018-08-12 01:48,29
108,서울,2018-08-12 01:49,29
108,서울,2018-08-12 01:50,29
108,서울,2018-08-12 01:51,29
108,서울,2018-08-12 01:52,29
108,서울,2018-08-12 01:53,29
108,서울,2018-08-12 01:54,29
108,서울,2018-08-12 01:55,29
108,서울,2018-08-12 01:56,29
108,서울,2018-08-12 01:57,29
108,서울,2018-08-12 01:58,29
108,서울,2018-08-12 01:59,29
108,서울,2018-08-12 02:00,29
108,서울,2018-08-12 02:01,29
108,서울,2018-08-12 02:02,28.9
108,서울,2018-08-12 02:03,29
108,서울,2018-08-12 02:04,29
108,서울,2018-08-12 02:05,28.9
108,서울,2018-08-12 02:06,28.9
108,서울,2018-08-12 02:07,28.9
108,서울,2018-08-12 02:08,28.9
108,서울,2018-08-12 02:09,28.9
108,서울,2018-08-12 02:10,28.9
108,서울,2018-08-12 02:11,28.9
108,서울,2018-08-12 02:12,28.9
108,서울,2018-08-12 02:13,28.9
108,서울,2018-08-12 02:14,28.8
108,서울,2018-08-12 02:15,28.8
108,서울,2018-08-12 02:16,28.8
108,서울,2018-08-12 02:17,28.8
108,서울,2018-08-12 02:18,28.8
108,서울,2018-08-12 02:19,28.8
108,서울,2018-08-12 02:20,28.8
108,서울,2018-08-12 02:21,28.8
108,서울,2018-08-12 02:22,28.8
108,서울,2018-08-12 02:23,28.8
108,서울,2018-08-12 02:24,28.8
108,서울,2018-08-12 02:25,28.8
108,서울,2018-08-12 02:26,28.8
108,서울,2018-08-12 02:27,28.8
108,서울,2018-08-12 02:28,28.8
108,서울,2018-08-12 02:29,28.8
108,서울,2018-08-12 02:30,28.8
108,서울,2018-08-12 02:31,28.7
108,서울,2018-08-12 02:32,28.7
108,서울,2018-08-12 02:33,28.7
108,서울,2018-08-12 02:34,28.7
108,서울,2018-08-12 02:35,28.7
108,서울,2018-08-12 02:36,28.7
108,서울,2018-08-12 02:37,28.7
108,서울,2018-08-12 02:38,28.7
108,서울,2018-08-12 02:39,28.7
108,서울,2018-08-12 02:40,28.7
108,서울,2018-08-12 02:41,28.7
108,서울,2018-08-12 02:42,28.7
108,서울,2018-08-12 02:43,28.7
108,서울,2018-08-12 02:44,28.6
108,서울,2018-08-12 02:45,28.6
108,서울,2018-08-12 02:46,28.6
108,서울,2018-08-12 02:47,28.6
108,서울,2018-08-12 02:48,28.6
108,서울,2018-08-12 02:49,28.6
108,서울,2018-08-12 02:50,28.6
108,서울,2018-08-12 02:51,28.6
108,서울,2018-08-12 02:52,28.6
108,서울,2018-08-12 02:53,28.6
108,서울,2018-08-12 02:54,28.6
108,서울,2018-08-12 02:55,28.5
108,서울,2018-08-12 02:56,28.5
108,서울,2018-08-12 02:57,28.5
108,서울,2018-08-12 02:58,28.5
108,서울,2018-08-12 02:59,28.5
108,서울,2018-08-12 03:00,28.5
108,서울,2018-08-12 03:01,28.5
108,서울,2018-08-12 03:02,28.5
108,서울,2018-08-12 03:03,28.5
108,서울,2018-08-12 03:04,28.5
108,서울,2018-08-12 03:05,28.5
108,서울,2018-08-12 03:06,28.5
108,서울,2018-08-12 03:07,28.5
108,서울,2018-08-12 03:08,28.5
108,서울,2018-08-12 03:09,28.5
108,서울,2018-08-12 03:10,28.5
108,서울,2018-08-12 03:11,28.5
108,서울,2018-08-12 03:12,28.5
108,서울,2018-08-12 03:13,28.5
108,서울,2018-08-12 03:14,28.5
108,서울,2018-08-12 03:15,28.5
108,서울,2018-08-12 03:16,28.5
108,서울,2018-08-12 03:17,28.4
108,서울,2018-08-12 03:18,28.4
108,서울,2018-08-12 03:19,28.4
108,서울,2018-08-12 03:20,28.4
108,서울,2018-08-12 03:21,28.4
108,서울,2018-08-12 03:22,28.4
108,서울,2018-08-12 03:23,28.4
108,서울,2018-08-12 03:24,28.4
108,서울,2018-08-12 03:25,28.4
108,서울,2018-08-12 03:26,28.3
108,서울,2018-08-12 03:27,28.3
108,서울,2018-08-12 03:28,28.3
108,서울,2018-08-12 03:29,28.3
108,서울,2018-08-12 03:30,28.3
108,서울,2018-08-12 03:31,28.3
108,서울,2018-08-12 03:32,28.3
108,서울,2018-08-12 03:33,28.3
108,서울,2018-08-12 03:34,28.3
108,서울,2018-08-12 03:35,28.3
108,서울,2018-08-12 03:36,28.3
108,서울,2018-08-12 03:37,28.3
108,서울,2018-08-12 03:38,28.3
108,서울,2018-08-12 03:39,28.2
108,서울,2018-08-12 03:40,28.2
108,서울,2018-08-12 03:41,28.2
108,서울,2018-08-12 03:42,28.2
108,서울,2018-08-12 03:43,28.2
108,서울,2018-08-12 03:44,28.2
108,서울,2018-08-12 03:45,28.2
108,서울,2018-08-12 03:46,28.2
108,서울,2018-08-12 03:47,28.2
108,서울,2018-08-12 03:48,28.2
108,서울,2018-08-12 03:49,28.2
108,서울,2018-08-12 03:50,28.2
108,서울,2018-08-12 03:51,28.2
108,서울,2018-08-12 03:52,28.2
108,서울,2018-08-12 03:53,28.2
108,서울,2018-08-12 03:54,28.2
108,서울,2018-08-12 03:55,28.2
108,서울,2018-08-12 03:56,28.2
