지점,지점명,일시,기온(°C)
108,서울,2018-08-25 00:01,23.2
108,서울,2018-08-25 00:02,23.2
108,서울,2018-08-25 00:03,23.2
108,서울,2018-08-25 00:04,23.2
108,서울,2018-08-25 00:05,23.2
108,서울,2018-08-25 00:06,23.2
108,서울,2018-08-25 00:07,23.2
108,서울,2018-08-25 00:08,23.2
108,서울,2018-08-25 00:09,23.2
108,서울,2018-08-25 00:10,23.2
108,서울,2018-08-25 00:11,23.2
108,서울,2018-08-25 00:12,23.2
108,서울,2018-08-25 00:13,23.2
108,서울,2018-08-25 00:14,23.2
108,서울,2018-08-25 00:15,23.2
108,서울,2018-08-25 00:16,23.2
108,서울,2018-08-25 00:17,23.2
108,서울,2018-08-25 00:18,23.2
108,서울,2018-08-25 00:19,23.2
108,서울,2018-08-25 00:20,23.2
108,서울,2018-08-25 00:21,23.2
108,서울,2018-08-25 00:22,23.2
108,서울,2018-08-25 00:23,23.2
108,서울,2018-08-25 00:24,23.2
108,서울,2018-08-25 00:25,23.2
108,서울,2018-08-25 00:26,23.1
108,서울,2018-08-25 00:27,23.1
108,서울,2018-08-25 00:28,23.1
108,서울,2018-08-25 00:29,23.1
108,서울,2018-08-25 00:30,23.1
108,서울,2018-08-25 00:31,23.1
108,서울,2018-08-25 00:32,23.1
108,서울,2018-08-25 00:33,23.1
108,서울,2018-08-25 00:34,23.1
108,서울,2018-08-25 00:35,23.1
108,서울,2018-08-25 00:36,23.1
108,서울,2018-08-25 00:37,23.1
108,서울,2018-08-25 00:38,23.1
108,서울,2018-08-25 00:39,23.1
108,서울,2018-08-25 00:40,23.1
108,서울,2018-08-25 00:41,23.1
108,서울,2018-08-25 00:42,23.1
108,서울,2018-08-25 00:43,23.1
108,서울,2018-08-25 00:44,23.1
108,서울,2018-08-25 00:45,23.1
108,서울,2018-08-25 00:46,23.1
108,서울,2018-08-25 00:47,23
108,서울,2018-08-25 00:48,23
108,서울,2018-08-25 00:49,23
108,서울,2018-08-25 00:50,23
108,서울,2018-08-25 00:51,23
108,서울,2018-08-25 00:52,23
108,서울,2018-08-25 00:53,23
108,서울,2018-08-25 00:54,23
108,서울,2018-08-25 00:55,23
108,서울,2018-08-25 00:56,23
108,서울,2018-08-25 00:57,23
108,서울,2018-08-25 00:58,23
108,서울,2018-08-25 00:59,23
108,서울,2018-08-25 01:00,23
108,서울,2018-08-25 01:01,23
108,서울,2018-08-25 01:02,23
108,서울,2018-08-25 01:03,23
108,서울,2018-08-25 01:04,23
108,서울,2018-08-25 01:05,23
108,서울,2018-08-25 01:06,23
108,서울,2018-08-25 01:07,23
108,서울,2018-08-25 01:08,23
108,서울,2018-08-25 01:09,23
108,서울,2018-08-25 01:10,23
108,서울,2018-08-25 01:11,23
108,서울,2018-08-25 01:12,23
108,서울,2018-08-25 01:13,23
108,서울,2018-08-25 01:14,23
108,서울,2018-08-25 01:15,22.9
108,서울,2018-08-25 01:16,23
108,서울,2018-08-25 01:17,23
108,서울,2018-08-25 01:18,23
108,서울,2018-08-25 01:19,23
108,서울,2018-08-25 01:20,22.9
108,서울,2018-08-25 01:21,22.9
108,서울,2018-08-25 01:22,22.9
108,서울,2018-08-25 01:23,22.9
108,서울,2018-08-25 01:24,22.9
108,서울,2018-08-25 01:25,22.9
108,서울,2018-08-25 01:26,22.9
108,서울,2018-08-25 01:27,22.9
108,서울,2018-08-25 01:28,22.9
108,서울,2018-08-25 01:29,22.9
108,서울,2018-08-25 01:30,22.9
108,서울,2018-08-25 01:31,22.9
108,서울,2018-08-25 01:32,22.9
108,서울,2018-08-25 01:33,22.9
108,서울,2018-08-25 01:34,22.9
108,서울,2018-08-25 01:35,22.9
108,서울,2018-08-25 01:36,22.9
108,서울,2018-08-25 01:37,22.9
108,서울,2018-08-25 01:38,22.9
108,서울,2018-08-25 01:39,22.9
108,서울,2018-08-25 01:40,22.9
108,서울,2018-08-25 01:41,22.9
108,서울,2018-08-25 01:42,22.9
108,서울,2018-08-25 01:43,22.9
108,서울,2018-08-25 01:44,22.9
108,서울,2018-08-25 01:45,22.9
108,서울,2018-08-25 01:46,22.9
108,서울,2018-08-25 01:47,22.9
108,서울,2018-08-25 01:48,22.9
108,서울,2018-08-25 01:49,22.9
108,서울,2018-08-25 01:50,22.9
108,서울,2018-08-25 01:51,22.9
108,서울,2018-08-25 01:52,22.9
108,서울,2018-08-25 01:53,22.9
108,서울,2018-08-25 01:54,22.9
108,서울,2018-08-25 01:55,22.9
108,서울,2018-08-25 01:56,22.9
108,서울,2018-08-25 01:57,22.9
108,서울,2018-08-25 01:58,22.9
108,서울,2018-08-25 01:59,22.9
108,서울,2018-08-25 02:00,22.9
108,서울,2018-08-25 02:01,22.9
108,서울,2018-08-25 02:02,22.9
108,서울,2018-08-25 02:03,22.9
108,서울,2018-08-25 02:04,22.9
108,서울,2018-08-25 02:05,22.9
108,서울,2018-08-25 02:06,22.9
108,서울,2018-08-25 02:07,22.9
108,서울,2018-08-25 02:08,22.9
108,서울,2018-08-25 02:09,22.9
108,서울,2018-08-25 02:10,22.9
108,서울,2018-08-25 02:11,22.9
108,서울,2018-08-25 02:12,22.9
108,서울,2018-08-25 02:13,22.9
108,서울,2018-08-25 02:14,22.9
108,서울,2018-08-25 02:15,22.9
108,서울,2018-08-25 02:16,22.9
108,서울,2018-08-25 02:17,22.9
108,서울,2018-08-25 02:18,22.9
108,서울,2018-08-25 02:19,22.9
108,서울,2018-08-25 02:20,22.9
108,서울,2018-08-25 02:21,22.9
108,서울,2018-08-25 02:22,23
108,서울,2018-08-25 02:23,23
108,서울,2018-08-25 02:24,23
108,서울,2018-08-25 02:25,23
108,서울,2018-08-25 02:26,23
108,서울,2018-08-25 02:27,23
108,서울,2018-08-25 02:28,23
108,서울,2018-08-25 02:29,23
108,서울,2018-08-25 02:30,23
108,서울,2018-08-25 02:31,23
108,서울,2018-08-25 02:32,23
108,서울,2018-08-25 02:33,23
108,서울,2018-08-25 02:34,23
108,서울,2018-08-25 02:35,23
108,서울,2018-08-25 02:36,23
108,서울,2018-08-25 02:37,23
108,서울,2018-08-25 02:38,23
108,서울,2018-08-25 02:39,23
108,서울,2018-08-25 02:40,23
108,서울,2018-08-25 02:41,23
108,서울,2018-08-25 02:42,23
108,서울,2018-08-25 02:43,23
108,서울,2018-08-25 02:44,23
108,서울,2018-08-25 02:45,23
108,서울,2018-08-25 02:46,23
108,서울,2018-08-25 02:47,23
108,서울,2018-08-25 02:48,23.1
